"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 30 14:34:57 GMT 2022","Fri Sep 30 14:35:04 GMT 2022","6911","","Login","","","","Must login without success and with an incorrect email",""
"passed","Fri Sep 30 14:34:40 GMT 2022","Fri Sep 30 14:34:41 GMT 2022","375","","Activities","","","","Create an activity",""
"passed","Fri Sep 30 14:34:39 GMT 2022","Fri Sep 30 14:34:40 GMT 2022","644","","Activities","","","","Search for all activities",""
"passed","Fri Sep 30 14:34:47 GMT 2022","Fri Sep 30 14:34:57 GMT 2022","10085","","Login","","","","Must login successfully",""
"passed","Fri Sep 30 14:34:40 GMT 2022","Fri Sep 30 14:34:40 GMT 2022","205","","Activities","","","","Search for an specific activity",""
"passed","Fri Sep 30 14:35:04 GMT 2022","Fri Sep 30 14:35:12 GMT 2022","7232","","Login","","","","Must login without sucess and with an incorrect password",""
"passed","Fri Sep 30 14:34:41 GMT 2022","Fri Sep 30 14:34:41 GMT 2022","404","","Activities","","","","Delete an activity",""
"passed","Fri Sep 30 14:34:41 GMT 2022","Fri Sep 30 14:34:42 GMT 2022","567","","Activities","","","","Edit an activity",""
