"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 03 01:25:11 GMT 2021","Fri Sep 03 01:25:17 GMT 2021","5958","","Login","","","","Must login successfully",""
"passed","Fri Sep 03 01:25:17 GMT 2021","Fri Sep 03 01:25:21 GMT 2021","3349","","Login","","","","Must login without success and with an incorrect email",""
"passed","Fri Sep 03 01:25:05 GMT 2021","Fri Sep 03 01:25:06 GMT 2021","513","","Activities","","","","Edit an activity",""
"passed","Fri Sep 03 01:25:21 GMT 2021","Fri Sep 03 01:25:24 GMT 2021","3604","","Login","","","","Must login without sucess and with an incorrect password",""
"passed","Fri Sep 03 01:25:05 GMT 2021","Fri Sep 03 01:25:05 GMT 2021","353","","Activities","","","","Delete an activity",""
"passed","Fri Sep 03 01:25:03 GMT 2021","Fri Sep 03 01:25:04 GMT 2021","705","","Activities","","","","Search for all activities",""
"passed","Fri Sep 03 01:25:04 GMT 2021","Fri Sep 03 01:25:04 GMT 2021","267","","Activities","","","","Search for an specific activity",""
"passed","Fri Sep 03 01:25:04 GMT 2021","Fri Sep 03 01:25:05 GMT 2021","362","","Activities","","","","Create an activity",""
