"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 01 01:12:24 GMT 2021","Wed Sep 01 01:12:25 GMT 2021","566","","Activities","","","","Edit an activity",""
"failed","Wed Sep 01 01:12:23 GMT 2021","Wed Sep 01 01:12:23 GMT 2021","429","","Activities","","","","Search for an specific activity",""
"passed","Wed Sep 01 01:12:40 GMT 2021","Wed Sep 01 01:12:43 GMT 2021","3146","","Login","","","","Must login without sucess and with an incorrect password",""
"passed","Wed Sep 01 01:12:23 GMT 2021","Wed Sep 01 01:12:24 GMT 2021","427","","Activities","","","","Create an activity",""
"passed","Wed Sep 01 01:12:31 GMT 2021","Wed Sep 01 01:12:38 GMT 2021","6480","","Login","","","","Must login successfully",""
"passed","Wed Sep 01 01:12:22 GMT 2021","Wed Sep 01 01:12:23 GMT 2021","688","","Activities","","","","Search for all activities",""
"passed","Wed Sep 01 01:12:38 GMT 2021","Wed Sep 01 01:12:40 GMT 2021","2602","","Login","","","","Must login without success and with an incorrect email",""
"passed","Wed Sep 01 01:12:24 GMT 2021","Wed Sep 01 01:12:24 GMT 2021","349","","Activities","","","","Delete an activity",""
