"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 30 23:56:36 GMT 2021","Mon Aug 30 23:56:40 GMT 2021","3260","","Login","","","","Must login without sucess and with an incorrect password",""
"passed","Mon Aug 30 23:56:21 GMT 2021","Mon Aug 30 23:56:21 GMT 2021","203","","Activities","","","","Delete an activity",""
"passed","Mon Aug 30 23:56:20 GMT 2021","Mon Aug 30 23:56:21 GMT 2021","752","","Activities","","","","Search for all activities",""
"passed","Mon Aug 30 23:56:33 GMT 2021","Mon Aug 30 23:56:36 GMT 2021","3181","","Login","","","","Must login without success and with an incorrect email",""
"passed","Mon Aug 30 23:56:21 GMT 2021","Mon Aug 30 23:56:21 GMT 2021","210","","Activities","","","","Create an activity",""
"passed","Mon Aug 30 23:56:26 GMT 2021","Mon Aug 30 23:56:33 GMT 2021","6674","","Login","","","","Must login successfully",""
"passed","Mon Aug 30 23:56:21 GMT 2021","Mon Aug 30 23:56:22 GMT 2021","248","","Activities","","","","Search for an specific activity",""
"passed","Mon Aug 30 23:56:22 GMT 2021","Mon Aug 30 23:56:22 GMT 2021","221","","Activities","","","","Edit an activity",""
