"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 01 01:20:20 GMT 2021","Wed Sep 01 01:20:28 GMT 2021","8471","","Login","","","","Must login successfully",""
"passed","Wed Sep 01 01:20:28 GMT 2021","Wed Sep 01 01:20:31 GMT 2021","2681","","Login","","","","Must login without success and with an incorrect email",""
"passed","Wed Sep 01 01:20:13 GMT 2021","Wed Sep 01 01:20:13 GMT 2021","358","","Activities","","","","Delete an activity",""
"passed","Wed Sep 01 01:20:13 GMT 2021","Wed Sep 01 01:20:14 GMT 2021","545","","Activities","","","","Edit an activity",""
"passed","Wed Sep 01 01:20:12 GMT 2021","Wed Sep 01 01:20:12 GMT 2021","180","","Activities","","","","Search for an specific activity",""
"passed","Wed Sep 01 01:20:31 GMT 2021","Wed Sep 01 01:20:34 GMT 2021","2870","","Login","","","","Must login without sucess and with an incorrect password",""
"passed","Wed Sep 01 01:20:12 GMT 2021","Wed Sep 01 01:20:13 GMT 2021","371","","Activities","","","","Create an activity",""
"passed","Wed Sep 01 01:20:12 GMT 2021","Wed Sep 01 01:20:12 GMT 2021","690","","Activities","","","","Search for all activities",""
