"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 01:04:39 GMT 2021","Thu Aug 12 01:04:39 GMT 2021","204","","Activities","","","","Search for an specific activity",""
"passed","Thu Aug 12 01:04:44 GMT 2021","Thu Aug 12 01:04:49 GMT 2021","5500","","Login","","","","Must login successfully",""
"passed","Thu Aug 12 01:04:39 GMT 2021","Thu Aug 12 01:04:39 GMT 2021","203","","Activities","","","","Delete an activity",""
"passed","Thu Aug 12 01:04:39 GMT 2021","Thu Aug 12 01:04:39 GMT 2021","195","","Activities","","","","Edit an activity",""
"passed","Thu Aug 12 01:04:49 GMT 2021","Thu Aug 12 01:04:53 GMT 2021","3515","","Login","","","","Must login without success and with an incorrect email",""
"passed","Thu Aug 12 01:04:38 GMT 2021","Thu Aug 12 01:04:38 GMT 2021","776","","Activities","","","","Search for all activities",""
"passed","Thu Aug 12 01:04:53 GMT 2021","Thu Aug 12 01:04:56 GMT 2021","2799","","Login","","","","Must login without sucess and with an incorrect password",""
"passed","Thu Aug 12 01:04:38 GMT 2021","Thu Aug 12 01:04:39 GMT 2021","214","","Activities","","","","Create an activity",""
