"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 09 01:05:22 GMT 2021","Mon Aug 09 01:05:22 GMT 2021","227","","Activities","","","","Create an activity",""
"passed","Mon Aug 09 01:05:36 GMT 2021","Mon Aug 09 01:05:39 GMT 2021","2980","","Login","","","","Must login without sucess and with an incorrect password",""
"passed","Mon Aug 09 01:05:21 GMT 2021","Mon Aug 09 01:05:22 GMT 2021","731","","Activities","","","","Search for all activities",""
"passed","Mon Aug 09 01:05:27 GMT 2021","Mon Aug 09 01:05:33 GMT 2021","6053","","Login","","","","Must login successfully",""
"passed","Mon Aug 09 01:05:22 GMT 2021","Mon Aug 09 01:05:22 GMT 2021","246","","Activities","","","","Search for an specific activity",""
"passed","Mon Aug 09 01:05:22 GMT 2021","Mon Aug 09 01:05:22 GMT 2021","216","","Activities","","","","Delete an activity",""
"passed","Mon Aug 09 01:05:33 GMT 2021","Mon Aug 09 01:05:36 GMT 2021","3270","","Login","","","","Must login without success and with an incorrect email",""
"passed","Mon Aug 09 01:05:22 GMT 2021","Mon Aug 09 01:05:22 GMT 2021","203","","Activities","","","","Edit an activity",""
