"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 01:05:28 GMT 2021","Fri Aug 13 01:05:31 GMT 2021","3591","","Login","","","","Must login without sucess and with an incorrect password",""
"passed","Fri Aug 13 01:05:15 GMT 2021","Fri Aug 13 01:05:15 GMT 2021","181","","Activities","","","","Search for an specific activity",""
"passed","Fri Aug 13 01:05:19 GMT 2021","Fri Aug 13 01:05:25 GMT 2021","5768","","Login","","","","Must login successfully",""
"passed","Fri Aug 13 01:05:15 GMT 2021","Fri Aug 13 01:05:15 GMT 2021","198","","Activities","","","","Edit an activity",""
"passed","Fri Aug 13 01:05:25 GMT 2021","Fri Aug 13 01:05:28 GMT 2021","2870","","Login","","","","Must login without success and with an incorrect email",""
"passed","Fri Aug 13 01:05:14 GMT 2021","Fri Aug 13 01:05:14 GMT 2021","772","","Activities","","","","Search for all activities",""
"passed","Fri Aug 13 01:05:15 GMT 2021","Fri Aug 13 01:05:15 GMT 2021","217","","Activities","","","","Delete an activity",""
"passed","Fri Aug 13 01:05:14 GMT 2021","Fri Aug 13 01:05:15 GMT 2021","207","","Activities","","","","Create an activity",""
