"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 30 14:39:45 GMT 2022","Fri Sep 30 14:39:45 GMT 2022","151","","Activities","","","","Search for an specific activity",""
"passed","Fri Sep 30 14:39:46 GMT 2022","Fri Sep 30 14:39:46 GMT 2022","389","","Activities","","","","Edit an activity",""
"passed","Fri Sep 30 14:39:51 GMT 2022","Fri Sep 30 14:39:58 GMT 2022","7288","","Login","","","","Must login successfully",""
"passed","Fri Sep 30 14:40:06 GMT 2022","Fri Sep 30 14:40:12 GMT 2022","6290","","Login","","","","Must login without sucess and with an incorrect password",""
"passed","Fri Sep 30 14:39:46 GMT 2022","Fri Sep 30 14:39:46 GMT 2022","265","","Activities","","","","Delete an activity",""
"passed","Fri Sep 30 14:39:45 GMT 2022","Fri Sep 30 14:39:46 GMT 2022","268","","Activities","","","","Create an activity",""
"passed","Fri Sep 30 14:39:58 GMT 2022","Fri Sep 30 14:40:06 GMT 2022","7162","","Login","","","","Must login without success and with an incorrect email",""
"passed","Fri Sep 30 14:39:45 GMT 2022","Fri Sep 30 14:39:45 GMT 2022","505","","Activities","","","","Search for all activities",""
