"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Aug 31 15:57:52 GMT 2021","Tue Aug 31 15:57:52 GMT 2021","468","","Activities","","","","Create an activity",""
"passed","Tue Aug 31 15:58:04 GMT 2021","Tue Aug 31 15:58:07 GMT 2021","2668","","Login","","","","Must login without success and with an incorrect email",""
"passed","Tue Aug 31 15:57:52 GMT 2021","Tue Aug 31 15:57:53 GMT 2021","413","","Activities","","","","Delete an activity",""
"failed","Tue Aug 31 15:57:53 GMT 2021","Tue Aug 31 15:57:53 GMT 2021","609","","Activities","","","","Edit an activity",""
"passed","Tue Aug 31 15:57:59 GMT 2021","Tue Aug 31 15:58:04 GMT 2021","5237","","Login","","","","Must login successfully",""
"failed","Tue Aug 31 15:57:50 GMT 2021","Tue Aug 31 15:57:51 GMT 2021","891","","Activities","","","","Search for all activities",""
"passed","Tue Aug 31 15:58:07 GMT 2021","Tue Aug 31 15:58:10 GMT 2021","2684","","Login","","","","Must login without sucess and with an incorrect password",""
"failed","Tue Aug 31 15:57:51 GMT 2021","Tue Aug 31 15:57:52 GMT 2021","435","","Activities","","","","Search for an specific activity",""
