"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Sep 01 01:05:43 GMT 2021","Wed Sep 01 01:05:44 GMT 2021","413","","Activities","","","","Search for an specific activity",""
"passed","Wed Sep 01 01:05:44 GMT 2021","Wed Sep 01 01:05:44 GMT 2021","308","","Activities","","","","Delete an activity",""
"passed","Wed Sep 01 01:05:49 GMT 2021","Wed Sep 01 01:05:52 GMT 2021","3475","","Login","","","","Must login successfully",""
"failed","Wed Sep 01 01:05:44 GMT 2021","Wed Sep 01 01:05:44 GMT 2021","356","","Activities","","","","Create an activity",""
"passed","Wed Sep 01 01:05:55 GMT 2021","Wed Sep 01 01:05:57 GMT 2021","2478","","Login","","","","Must login without sucess and with an incorrect password",""
"passed","Wed Sep 01 01:05:52 GMT 2021","Wed Sep 01 01:05:55 GMT 2021","2070","","Login","","","","Must login without success and with an incorrect email",""
"failed","Wed Sep 01 01:05:42 GMT 2021","Wed Sep 01 01:05:43 GMT 2021","647","","Activities","","","","Search for all activities",""
"failed","Wed Sep 01 01:05:44 GMT 2021","Wed Sep 01 01:05:45 GMT 2021","516","","Activities","","","","Edit an activity",""
