"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 03 12:55:47 GMT 2021","Tue Aug 03 12:55:47 GMT 2021","193","","Activities","","","","Edit an activity",""
"passed","Tue Aug 03 12:55:46 GMT 2021","Tue Aug 03 12:55:46 GMT 2021","207","","Activities","","","","Create an activity",""
"passed","Tue Aug 03 12:55:46 GMT 2021","Tue Aug 03 12:55:47 GMT 2021","187","","Activities","","","","Search for an specific activity",""
"passed","Tue Aug 03 12:55:45 GMT 2021","Tue Aug 03 12:55:46 GMT 2021","697","","Activities","","","","Search for all activities",""
"passed","Tue Aug 03 12:55:46 GMT 2021","Tue Aug 03 12:55:46 GMT 2021","200","","Activities","","","","Delete an activity",""
