"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Sep 01 12:20:03 GMT 2021","Wed Sep 01 12:20:22 GMT 2021","19146","","Login","","","","Must login successfully",""
"passed","Wed Sep 01 12:19:58 GMT 2021","Wed Sep 01 12:19:58 GMT 2021","237","","Activities","","","","Delete an activity",""
"passed","Wed Sep 01 12:19:58 GMT 2021","Wed Sep 01 12:19:58 GMT 2021","144","","Activities","","","","Search for an specific activity",""
"passed","Wed Sep 01 12:19:58 GMT 2021","Wed Sep 01 12:19:59 GMT 2021","358","","Activities","","","","Edit an activity",""
"passed","Wed Sep 01 12:20:36 GMT 2021","Wed Sep 01 12:20:50 GMT 2021","14751","","Login","","","","Must login without sucess and with an incorrect password",""
"passed","Wed Sep 01 12:19:58 GMT 2021","Wed Sep 01 12:19:58 GMT 2021","237","","Activities","","","","Create an activity",""
"passed","Wed Sep 01 12:19:57 GMT 2021","Wed Sep 01 12:19:58 GMT 2021","472","","Activities","","","","Search for all activities",""
"passed","Wed Sep 01 12:20:22 GMT 2021","Wed Sep 01 12:20:36 GMT 2021","13829","","Login","","","","Must login without success and with an incorrect email",""
