"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 31 00:39:29 GMT 2021","Tue Aug 31 00:39:29 GMT 2021","204","","Activities","","","","Search for an specific activity",""
"passed","Tue Aug 31 00:39:54 GMT 2021","Tue Aug 31 00:40:08 GMT 2021","14183","","Login","","","","Must login without success and with an incorrect email",""
"passed","Tue Aug 31 00:39:28 GMT 2021","Tue Aug 31 00:39:29 GMT 2021","668","","Activities","","","","Search for all activities",""
"passed","Tue Aug 31 00:39:29 GMT 2021","Tue Aug 31 00:39:29 GMT 2021","218","","Activities","","","","Delete an activity",""
"passed","Tue Aug 31 00:39:29 GMT 2021","Tue Aug 31 00:39:30 GMT 2021","212","","Activities","","","","Edit an activity",""
"passed","Tue Aug 31 00:40:08 GMT 2021","Tue Aug 31 00:40:24 GMT 2021","15061","","Login","","","","Must login without sucess and with an incorrect password",""
"passed","Tue Aug 31 00:39:29 GMT 2021","Tue Aug 31 00:39:29 GMT 2021","205","","Activities","","","","Create an activity",""
"passed","Tue Aug 31 00:39:34 GMT 2021","Tue Aug 31 00:39:54 GMT 2021","19729","","Login","","","","Must login successfully",""
