"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 03 13:33:13 GMT 2021","Tue Aug 03 13:33:13 GMT 2021","211","","Activities","","","","Edit an activity",""
"passed","Tue Aug 03 13:33:11 GMT 2021","Tue Aug 03 13:33:12 GMT 2021","761","","Activities","","","","Search for all activities",""
"passed","Tue Aug 03 13:33:12 GMT 2021","Tue Aug 03 13:33:12 GMT 2021","254","","Activities","","","","Create an activity",""
"passed","Tue Aug 03 13:33:13 GMT 2021","Tue Aug 03 13:33:13 GMT 2021","205","","Activities","","","","Search for an specific activity",""
"passed","Tue Aug 03 13:33:12 GMT 2021","Tue Aug 03 13:33:13 GMT 2021","223","","Activities","","","","Delete an activity",""
